2025-05-13 17:11:42,257 - utils.page_setting - INFO - 日志文件已创建: E:\pythonProject\outsource\balenciaga_monitor\logs\mytheresa\mytheresa_20250513_171142.log
2025-05-13 17:11:42,257 - utils.page_setting - INFO - 未找到历史库存数据目录: E:\pythonProject\outsource\balenciaga_monitor\data\mytheresa\inventory
2025-05-13 17:11:42,258 - utils.page_setting - INFO - mytheresa - 库存监控已初始化
2025-05-13 17:11:42,260 - utils.page_setting - INFO - 开始监控 https://api.mytheresa.com/api
2025-05-13 17:11:42,261 - utils.page_setting - INFO - 正在获取商品目录: https://api.mytheresa.com/api
2025-05-13 17:11:48,389 - utils.page_setting - INFO - 找到 78 个商品元素
2025-05-13 17:11:48,392 - utils.page_setting - DEBUG - 开始解析商品目录数据
2025-05-13 17:12:06,406 - utils.page_setting - DEBUG - 找到商品: Sunday leather clogs, URL: https://www.mytheresa.com/mo/en/men/balenciaga-sunday-leather-clogs-black-p00889954
2025-05-13 17:12:07,372 - utils.page_setting - DEBUG - 找到商品: 6XL mesh sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-6xl-mesh-sneakers-multicoloured-p01057371
2025-05-13 17:12:09,471 - utils.page_setting - DEBUG - 找到商品: Track sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-track-sneakers-black-p01032584
2025-05-13 17:12:09,471 - utils.page_setting - DEBUG - 找到商品: Track Trail Laces sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-track-trail-laces-sneakers-orange-p01032586
2025-05-13 17:12:09,471 - utils.page_setting - DEBUG - 找到商品: Monday 3B Sports Icon leather sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-monday-3b-sports-icon-leather-sneakers-black-p01040998
2025-05-13 17:12:09,472 - utils.page_setting - DEBUG - 找到商品: Circuit sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-circuit-sneakers-yellow-p01010155
2025-05-13 17:12:09,473 - utils.page_setting - DEBUG - 找到商品: 3XL chain-detail mesh sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-3xl-chain-detail-mesh-sneakers-grey-p01032583
2025-05-13 17:12:09,473 - utils.page_setting - DEBUG - 找到商品: 3XL sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-3xl-sneakers-white-p00806790
2025-05-13 17:12:09,473 - utils.page_setting - DEBUG - 找到商品: Sunday suede mules, URL: https://www.mytheresa.com/mo/en/men/balenciaga-sunday-suede-mules-brown-p00888846
2025-05-13 17:12:09,474 - utils.page_setting - DEBUG - 找到商品: x Crocs Jibbitz clogs, URL: https://www.mytheresa.com/mo/en/men/balenciaga-x-crocs-jibbitz-clogs-black-p01010123
