2025-05-15 03:34:30,642 - INFO - [mytheresa] - 日志文件已创建: E:\pythonProject\outsource\balenciaga_monitor\logs\mytheresa\mytheresa_20250515_033430.log
2025-05-15 03:34:30,644 - INFO - [mytheresa] - 加载了上次的库存数据: E:\pythonProject\outsource\balenciaga_monitor\data\mytheresa\inventory\balenciaga_inventory_20250515_032936.json
2025-05-15 03:34:30,644 - INFO - [mytheresa] - mytheresa - 库存监控已初始化
2025-05-15 03:34:30,645 - INFO - [mytheresa] - 开始监控 https://api.mytheresa.com/api
2025-05-15 03:34:30,645 - INFO - [mytheresa] - 正在获取商品目录: https://api.mytheresa.com/api
2025-05-15 03:34:47,587 - INFO - [mytheresa] - 找到 88 个商品元素
2025-05-15 03:34:47,588 - DEBUG - [mytheresa] - 开始解析商品目录数据
2025-05-15 03:34:47,588 - DEBUG - [mytheresa] - 找到商品: Sunday leather clogs, URL: https://www.mytheresa.com/mo/en/men/balenciaga-sunday-leather-clogs-black-p00889954
2025-05-15 03:34:47,588 - DEBUG - [mytheresa] - 找到商品: 6XL mesh sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-6xl-mesh-sneakers-multicoloured-p01057371
2025-05-15 03:34:47,588 - DEBUG - [mytheresa] - 找到商品: Track sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-track-sneakers-black-p01032584
2025-05-15 03:34:47,588 - DEBUG - [mytheresa] - 找到商品: Track Trail Laces sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-track-trail-laces-sneakers-orange-p01032586
2025-05-15 03:34:47,588 - DEBUG - [mytheresa] - 找到商品: Monday 3B Sports Icon leather sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-monday-3b-sports-icon-leather-sneakers-black-p01040998
2025-05-15 03:34:47,588 - DEBUG - [mytheresa] - 找到商品: Circuit sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-circuit-sneakers-yellow-p01010155
2025-05-15 03:34:47,589 - DEBUG - [mytheresa] - 找到商品: 3XL chain-detail mesh sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-3xl-chain-detail-mesh-sneakers-grey-p01032583
2025-05-15 03:34:47,589 - DEBUG - [mytheresa] - 找到商品: 3XL sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-3xl-sneakers-white-p00806790
2025-05-15 03:34:47,589 - DEBUG - [mytheresa] - 找到商品: Sunday suede mules, URL: https://www.mytheresa.com/mo/en/men/balenciaga-sunday-suede-mules-brown-p00888846
2025-05-15 03:34:47,589 - DEBUG - [mytheresa] - 找到商品: x Crocs Jibbitz clogs, URL: https://www.mytheresa.com/mo/en/men/balenciaga-x-crocs-jibbitz-clogs-black-p01010123
2025-05-15 03:34:47,589 - DEBUG - [mytheresa] - 找到商品: 3XL sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-3xl-sneakers-multicoloured-p00888849
2025-05-15 03:34:47,589 - DEBUG - [mytheresa] - 找到商品: Runner sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-runner-sneakers-multicoloured-p00963454
2025-05-15 03:34:47,589 - DEBUG - [mytheresa] - 找到商品: Runner sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-runner-sneakers-multicoloured-p00970247
2025-05-15 03:34:47,589 - DEBUG - [mytheresa] - 找到商品: Runner sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-runner-sneakers-grey-p00981020
2025-05-15 03:34:47,589 - DEBUG - [mytheresa] - 找到商品: 10XL sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-10xl-sneakers-grey-p00948315
2025-05-15 03:34:47,589 - DEBUG - [mytheresa] - 找到商品: 3XL sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-3xl-distressed-sneakers-black-p00798279
2025-05-15 03:34:47,589 - DEBUG - [mytheresa] - 找到商品: 3XL Extreme Graffiti sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-3xl-extreme-graffiti-sneakers-multicoloured-p00948306
2025-05-15 03:34:47,589 - DEBUG - [mytheresa] - 找到商品: Bouncer sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-bouncer-sneakers-black-p00798287
2025-05-15 03:34:47,589 - DEBUG - [mytheresa] - 找到商品: Pool logo rubber slides, URL: https://www.mytheresa.com/mo/en/men/balenciaga-pool-logo-rubber-slides-black-p00444559
2025-05-15 03:34:47,589 - DEBUG - [mytheresa] - 找到商品: Monday leather sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-monday-3b-sports-icon-leather-sneakers-white-p01032582
2025-05-15 03:34:47,589 - DEBUG - [mytheresa] - 找到商品: Circuit sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-circuit-sneakers-black-p01010156
2025-05-15 03:34:47,590 - DEBUG - [mytheresa] - 找到商品: Opera leather Derby shoes, URL: https://www.mytheresa.com/mo/en/men/balenciaga-opera-leather-derby-shoes-black-p01010138
2025-05-15 03:34:47,590 - DEBUG - [mytheresa] - 找到商品: Triple S Sporty leather sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-triple-s-sporty-leather-sneakers-black-p01010143
2025-05-15 03:34:47,591 - DEBUG - [mytheresa] - 找到商品: Combat Strike canvas lace-up boots, URL: https://www.mytheresa.com/mo/en/men/balenciaga-strike-canvas-combat-boots-black-p01008910
2025-05-15 03:34:47,591 - DEBUG - [mytheresa] - 找到商品: 3X mesh sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-3x-mesh-sneakers-black-p00971229
2025-05-15 03:34:47,591 - DEBUG - [mytheresa] - 找到商品: Stapler sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-stapler-sneakers-beige-p00971230
2025-05-15 03:34:47,591 - DEBUG - [mytheresa] - 找到商品: Strike leather boots, URL: https://www.mytheresa.com/mo/en/men/balenciaga-strike-leather-boots-black-p00971231
2025-05-15 03:34:47,591 - DEBUG - [mytheresa] - 找到商品: Sunday suede sandals, URL: https://www.mytheresa.com/mo/en/men/balenciaga-sunday-suede-sandals-brown-p00954700
2025-05-15 03:34:47,591 - DEBUG - [mytheresa] - 找到商品: Alaska Fur High suede boots, URL: https://www.mytheresa.com/mo/en/men/balenciaga-alaska-fur-high-suede-boots-black-p00955186
2025-05-15 03:34:47,591 - DEBUG - [mytheresa] - 找到商品: 3XL sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-3xl-sneakers-white-p00963452
2025-05-15 03:34:47,591 - DEBUG - [mytheresa] - 找到商品: 10XL sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-10xl-sneakers-white-p00948313
2025-05-15 03:34:47,591 - DEBUG - [mytheresa] - 找到商品: Sunday leather sandals, URL: https://www.mytheresa.com/mo/en/men/balenciaga-sunday-leather-sandals-black-p00954800
2025-05-15 03:34:47,591 - DEBUG - [mytheresa] - 找到商品: 3XL sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-3xl-sneakers-green-p00906279
2025-05-15 03:34:47,591 - DEBUG - [mytheresa] - 找到商品: Sunday Molded mules, URL: https://www.mytheresa.com/mo/en/men/balenciaga-sunday-molded-mules-black-p00906276
